function,metric,rep=0_pad=1,rep=0_pad=3,rep=0_pad=7,rep=1_pad=0,rep=1_pad=2,rep=1_pad=6,rep=2_pad=1,rep=3_pad=0,rep=5_pad=2,rep=7_pad=0
func1,IQR-OPT,0.94,0.94,0.94,0.711,0.87,0.913,0.711,0.426,0.585,0.231
func1,IQR-PSO,0.94,0.94,0.94,0.711,0.87,0.913,0.711,0.426,0.585,0.231
func1,IQR-$\alpha$-OPT,0.07,0.999,0.999,0.957,0.996,0.998,0.957,0.668,0.857,0.066
func1,IQR-$\alpha$-PSO,0.995,,,0.957,,,0.957,0.668,0.857,0.383
func2,IQR-OPT,0.851,0.851,0.851,-0.0,0.643,0.774,0.545,0.22,0.411,0.138
func2,IQR-PSO,0.851,0.851,0.851,0.215,0.643,0.774,0.545,0.22,0.411,0.138
func2,IQR-$\alpha$-OPT,0.189,0.025,0.962,-0.0,0.894,0.938,0.726,0.432,0.596,-0.0
func2,IQR-$\alpha$-PSO,0.962,0.962,0.962,0.726,0.894,0.937,0.726,0.432,0.596,0.233
func3,IQR-OPT,0.907,0.962,0.997,0.854,0.924,0.997,0.878,0.876,0.879,0.752
func3,IQR-PSO,0.907,0.962,,0.854,0.924,,0.878,0.876,0.879,0.752
func3,IQR-$\alpha$-OPT,0.63,0.939,0.939,0.927,0.935,0.681,0.927,0.892,0.917,0.791
func3,IQR-$\alpha$-PSO,0.939,0.995,0.938,0.927,0.996,0.996,0.927,0.892,0.916,0.791
func4,IQR-OPT,0.696,0.811,0.882,0.685,0.809,0.88,0.805,0.787,0.839,0.572
func4,IQR-PSO,0.696,0.811,0.882,0.685,0.809,0.88,0.805,0.787,0.839,0.572
func4,IQR-$\alpha$-OPT,1.0,1.0,1.0,1.0,1.0,0.977,1.0,1.0,1.0,0.867
func4,IQR-$\alpha$-PSO,,,,,,0.998,,,,0.867
func5,IQR-OPT,0.158,0.158,0.158,0.147,0.155,0.157,0.147,0.117,0.138,0.076
func5,IQR-PSO,0.751,0.783,0.78,0.722,0.761,0.751,0.722,0.472,0.521,0.076
func5,IQR-$\alpha$-OPT,0.161,1.0,1.0,1.0,0.16,0.16,0.157,0.752,0.386,0.111
func5,IQR-$\alpha$-PSO,0.995,,,,0.995,0.966,0.996,0.145,0.938,0.44
func6,IQR-OPT,0.24,0.243,0.243,0.226,0.242,0.243,0.226,0.146,0.195,0.082
func6,IQR-PSO,0.24,0.243,0.243,0.226,0.242,0.243,0.226,0.146,0.195,0.082
func6,IQR-$\alpha$-OPT,0.452,0.607,0.452,0.298,0.353,0.4,0.298,0.225,0.279,0.133
func6,IQR-$\alpha$-PSO,0.452,0.607,0.535,0.298,0.353,0.561,0.297,0.225,0.279,0.133
func7,IQR-OPT,0.741,0.741,0.741,0.511,0.661,0.71,0.511,0.291,0.41,0.154
func7,IQR-PSO,0.741,0.741,0.74,0.511,0.661,0.71,0.511,0.291,0.41,0.154
func7,IQR-$\alpha$-OPT,1.0,1.0,0.002,0.81,0.751,0.997,0.81,0.49,0.67,0.266
func7,IQR-$\alpha$-PSO,,,0.996,0.81,0.972,,0.81,0.49,0.67,0.266
g1,IQR-OPT,-10.235,-1.599,-0.86,-0.0,-1.599,-0.86,-2.943,-1.671,-0.43,-0.0
g1,IQR-PSO,-5.445,-2.615,-0.605,-0.0,0.004,-0.921,0.004,-0.0,-0.43,-0.213
g1,IQR-$\alpha$-OPT,0.017,0.479,0.098,0.479,0.042,0.95,1.0,-0.0,0.303,-0.0
g1,IQR-$\alpha$-PSO,0.996,0.687,0.56,0.536,0.737,0.917,,0.536,0.907,0.419
g2,IQR-OPT,0.0,-1.217,-0.607,-4.768,-3.055,-0.608,-2.152,-0.0,-0.341,-0.356
g2,IQR-PSO,0.0,-2.489,-1.059,-0.0,-1.892,-1.055,0.0,-0.835,-0.139,-0.0
g2,IQR-$\alpha$-OPT,0.671,1.0,0.971,-0.0,0.575,0.575,0.305,0.0,0.871,0.024
g2,IQR-$\alpha$-PSO,0.671,,0.996,0.305,0.372,0.983,0.682,0.305,0.858,0.335
g3,IQR-OPT,-3.968,-1.024,-0.748,-4.059,-1.025,-0.53,-1.823,-1.071,-0.801,-0.0
g3,IQR-PSO,-3.318,-0.0,-1.511,-3.133,-0.665,-0.438,-1.767,-0.666,-0.294,-0.108
g3,IQR-$\alpha$-OPT,0.217,0.217,0.669,0.217,0.438,0.442,0.217,0.217,0.2,0.187
g3,IQR-$\alpha$-PSO,0.531,0.995,0.438,0.3,0.708,0.89,0.51,-0.0,0.618,0.264
